"Transect","Seabirds","Length","Oil","Density"
1,0,4.06,"no",0
2,0,6.51,"no",0
3,54,6.76,"no",7.98816568
4,0,4.26,"no",0
5,14,3.59,"no",3.899721448
6,9,9.89,"no",0.9100101112
7,44,5.66,"no",7.77385159
8,263,7.26,"no",36.22589532
9,0,1.41,"no",0
10,97,6,"no",16.16666667
11,0,3.13,"no",0
12,36,6.08,"no",5.921052632
13,8,8.42,"no",0.9501187648
14,21,5.53,"no",3.797468354
15,0,8.11,"no",0
16,0,2.88,"no",0
17,0,5.39,"no",0
18,13,2.54,"no",5.118110236
19,7,2.2,"no",3.181818182
20,7,6.14,"no",1.140065147
21,0,6.08,"no",0
22,24,2.4,"no",10
23,0,7.22,"no",0
24,0,3.7,"no",0
25,9,5.88,"no",1.530612245
26,26,4.44,"no",5.855855856
27,0,5.7,"no",0
28,0,3.84,"no",0
29,5,5.75,"no",0.8695652174
30,16,7.58,"no",2.110817942
31,10,7.09,"no",1.410437236
32,12,3.97,"no",3.022670025
33,0,5.73,"no",0
34,0,1.99,"no",0
35,0,5.76,"no",0
36,0,4.91,"no",0
37,0,1.17,"yes",0
38,5,7.25,"yes",0.6896551724
39,18,5.96,"yes",3.020134228
40,0,7.27,"yes",0
41,0,5.18,"yes",0
42,0,5.81,"yes",0
43,13,4.83,"yes",2.691511387
44,0,6.82,"yes",0
45,24,6.67,"yes",3.5982009
46,0,8.01,"yes",0
47,22,2.52,"yes",8.73015873
48,0,7.54,"yes",0
49,80,7.75,"yes",10.32258065
50,0,11.85,"yes",0
51,9,4,"yes",2.25
52,19,3.72,"yes",5.107526882
53,57,9,"yes",6.333333333
54,0,6.85,"yes",0
55,0,9.26,"yes",0
56,24,5.58,"yes",4.301075269
57,0,1.18,"yes",0
58,0,4.77,"yes",0
59,17,3.09,"yes",5.501618123
60,24,4.55,"yes",5.274725275
61,0,4.45,"yes",0
62,83,6.56,"yes",12.65243902
63,0,5.53,"yes",0
64,26,7.32,"yes",3.551912568
65,0,5.28,"yes",0
66,76,6.81,"yes",11.16005874
67,87,5.21,"yes",16.69865643
68,0,8.04,"yes",0
69,50,9.38,"yes",5.330490405
70,264,8.04,"yes",32.8358209
71,106,4.62,"yes",22.94372294
72,15,1.97,"yes",7.614213198
73,20,2.79,"yes",7.168458781
74,0,7.03,"yes",0
75,15,2.42,"yes",6.198347107
76,3,6.82,"yes",0.4398826979
77,14,5.32,"yes",2.631578947
78,5,7.04,"yes",0.7102272727
79,14,5.17,"yes",2.707930368
80,3,5.26,"yes",0.5703422053
81,2,3.17,"yes",0.6309148265
82,13,8.18,"yes",1.589242054
83,0,1.19,"yes",0
84,0,3.99,"yes",0
85,3,4,"yes",0.75
86,0,4.76,"yes",0
87,0,4.71,"yes",0
88,6,6.67,"yes",0.8995502249
89,0,5.26,"yes",0
90,49,5.36,"yes",9.141791045
91,0,1.58,"yes",0
92,7,3.4,"yes",2.058823529
93,4,6.67,"yes",0.5997001499
94,0,3.29,"yes",0
95,0,6.22,"yes",0
96,27,8.94,"yes",3.020134228
