"SALEPRICE","APPVALUE"
489900,418601
1825000,1577919
890000,697836
250000,191620
1275000,1063901
325000,253929
388500,338492
291900,243135
490000,397549
326000,250234
599000,515049
400000,303604
445000,364222
463000,296491
405000,306247
418000,363710
540000,446444
558000,467693
237000,170005
525000,461240
303900,258126
615000,513450
618900,520675
346000,305017
519300,500030
480000,410946
360000,304235
258000,206529
242000,182567
605000,485753
575000,486176
326000,270098
330000,285608
354900,289029
340000,281782
242500,203299
390000,297561
440000,358979
1875000,1437767
450000,320351
520000,481615
505000,454982
202000,169023
348500,300297
573000,455743
307500,268464
375000,315349
345000,311366
290000,245506
349500,331718
395000,334515
292000,219439
355000,267002
430000,388901
620000,382121
385000,434748
305400,234297
455000,379005
242500,204377
494000,403342
229000,174516
350000,227659
224500,181558
350000,336156
405000,360501
385000,387368
265000,251227
408000,374014
239000,139852
322000,290249
535000,449764
579000,497474
289900,272970
325000,292702
516000,407449
309300,272275
370000,347320
580000,511359
