"DEVIATE","GROUP","TRAIL"
3.1,"Male","Extract"
42,"Male","Control"
6.2,"Male","Extract"
22.7,"Male","Control"
34,"Male","Extract"
93.1,"Male","Control"
2.1,"Male","Extract"
17.5,"Male","Control"
2.4,"Male","Extract"
78.1,"Male","Control"
4.4,"Male","Extract"
74.1,"Male","Control"
2.4,"Male","Extract"
50.3,"Male","Control"
7.6,"Male","Extract"
8.9,"Male","Control"
5.5,"Male","Extract"
11.3,"Male","Control"
6.9,"Male","Extract"
82,"Male","Control"
25.4,"Male","Extract"
2.2,"Male","Extract"
2.5,"Male","Extract"
4.9,"Male","Extract"
18.5,"Male","Extract"
4.6,"Male","Extract"
7.7,"Male","Extract"
3.2,"Male","Extract"
2.4,"Male","Extract"
1.5,"Male","Extract"
7.2,"Female","Extract"
70.2,"Female","Control"
17.3,"Female","Extract"
49,"Female","Control"
9.1,"Female","Extract"
40.5,"Female","Control"
13.2,"Female","Extract"
13.3,"Female","Control"
101.2,"Female","Extract"
31.8,"Female","Control"
4.6,"Female","Extract"
116,"Female","Control"
18.1,"Female","Extract"
164,"Female","Control"
73,"Female","Extract"
30.2,"Female","Control"
4.8,"Female","Extract"
44.3,"Female","Control"
20.5,"Female","Extract"
72.6,"Female","Control"
51.6,"Female","Extract"
5.8,"Female","Extract"
27.8,"Female","Extract"
2.8,"Female","Extract"
4.4,"Female","Extract"
3.2,"Female","Extract"
3.6,"Female","Extract"
1.7,"Female","Extract"
29.8,"Female","Extract"
21.7,"Female","Extract"
78.7,"Gravid","Extract"
54.6,"Gravid","Control"
70.3,"Gravid","Extract"
54.3,"Gravid","Control"
79.9,"Gravid","Extract"
63.5,"Gravid","Control"
51,"Gravid","Extract"
52.6,"Gravid","Control"
13.6,"Gravid","Extract"
95.1,"Gravid","Control"
20.4,"Gravid","Extract"
117.9,"Gravid","Control"
51.2,"Gravid","Extract"
53.3,"Gravid","Control"
27.5,"Gravid","Extract"
84,"Gravid","Control"
63.1,"Gravid","Extract"
103.5,"Gravid","Control"
4.8,"Gravid","Extract"
53,"Gravid","Control"
23.4,"Gravid","Extract"
48.2,"Gravid","Extract"
13.3,"Gravid","Extract"
57.4,"Gravid","Extract"
65.4,"Gravid","Extract"
10.5,"Gravid","Extract"
59.9,"Gravid","Extract"
38.4,"Gravid","Extract"
27,"Gravid","Extract"
76.6,"Gravid","Extract"
7.7,"Nymph","Extract"
132.9,"Nymph","Control"
27.7,"Nymph","Extract"
19.7,"Nymph","Control"
18.4,"Nymph","Extract"
32.1,"Nymph","Control"
47.6,"Nymph","Extract"
66.4,"Nymph","Control"
22.4,"Nymph","Extract"
126,"Nymph","Control"
8.3,"Nymph","Extract"
131.1,"Nymph","Control"
13.5,"Nymph","Extract"
50.7,"Nymph","Control"
45.6,"Nymph","Extract"
93.8,"Nymph","Control"
8.4,"Nymph","Extract"
59.4,"Nymph","Control"
3.3,"Nymph","Extract"
25.6,"Nymph","Control"
51.2,"Nymph","Extract"
10.4,"Nymph","Extract"
32,"Nymph","Extract"
6.9,"Nymph","Extract"
32.6,"Nymph","Extract"
23.8,"Nymph","Extract"
5.1,"Nymph","Extract"
3.8,"Nymph","Extract"
3.1,"Nymph","Extract"
2.8,"Nymph","Extract"
