"NUMUSED","USED60"
62,"MORE"
55,"LESS"
43,"LESS"
53,"LESS"
93,"MORE"
23,"LESS"
47,"LESS"
36,"LESS"
32,"LESS"
48,"LESS"
72,"MORE"
43,"LESS"
66,"MORE"
110,"MORE"
57,"LESS"
59,"LESS"
79,"MORE"
107,"MORE"
55,"LESS"
70,"MORE"
44,"LESS"
88,"MORE"
61,"MORE"
42,"LESS"
32,"LESS"
48,"LESS"
83,"MORE"
86,"MORE"
119,"MORE"
55,"LESS"
61,"MORE"
85,"MORE"
94,"MORE"
72,"MORE"
84,"MORE"
70,"MORE"
48,"LESS"
55,"LESS"
77,"MORE"
61,"MORE"
90,"MORE"
75,"MORE"
68,"MORE"
94,"MORE"
79,"MORE"
91,"MORE"
57,"LESS"
86,"MORE"
77,"MORE"
62,"MORE"
35,"LESS"
43,"LESS"
81,"MORE"
40,"LESS"
22,"LESS"
68,"MORE"
67,"MORE"
90,"MORE"
99,"MORE"
67,"MORE"
96,"MORE"
86,"MORE"
76,"MORE"
90,"MORE"
29,"LESS"
100,"MORE"
77,"MORE"
115,"MORE"
77,"MORE"
54,"LESS"
54,"LESS"
55,"LESS"
48,"LESS"
62,"MORE"
33,"LESS"
118,"MORE"
71,"MORE"
113,"MORE"
131,"MORE"
108,"MORE"
63,"MORE"
86,"MORE"
58,"LESS"
60,"LESS"
39,"LESS"
65,"MORE"
61,"MORE"
87,"MORE"
76,"MORE"
146,"MORE"
67,"MORE"
58,"LESS"
49,"LESS"
56,"LESS"
64,"MORE"
57,"LESS"
67,"MORE"
48,"LESS"
58,"LESS"
64,"MORE"
93,"MORE"
45,"LESS"
59,"LESS"
81,"MORE"
79,"MORE"
88,"MORE"
58,"LESS"
36,"LESS"
48,"LESS"
46,"LESS"
100,"MORE"
58,"LESS"
55,"LESS"
78,"MORE"
107,"MORE"
67,"MORE"
76,"MORE"
82,"MORE"
56,"LESS"
52,"LESS"
108,"MORE"
63,"MORE"
41,"LESS"
27,"LESS"
72,"MORE"
108,"MORE"
25,"LESS"
62,"MORE"
47,"LESS"
31,"LESS"
68,"MORE"
81,"MORE"
83,"MORE"
61,"MORE"
103,"MORE"
34,"LESS"
87,"MORE"
80,"MORE"
82,"MORE"
16,"LESS"
57,"LESS"
73,"MORE"
35,"LESS"
89,"MORE"
65,"MORE"
60,"LESS"
51,"LESS"
74,"MORE"
68,"MORE"
86,"MORE"
19,"LESS"
19,"LESS"
18,"LESS"
94,"MORE"
105,"MORE"
47,"LESS"
70,"MORE"
50,"LESS"
50,"LESS"
69,"MORE"
90,"MORE"
78,"MORE"
100,"MORE"
101,"MORE"
38,"LESS"
67,"MORE"
26,"LESS"
72,"MORE"
24,"LESS"
58,"LESS"
83,"MORE"
52,"LESS"
75,"MORE"
87,"MORE"
63,"MORE"
45,"LESS"
66,"MORE"
45,"LESS"
80,"MORE"
87,"MORE"
48,"LESS"
108,"MORE"
67,"MORE"
89,"MORE"
109,"MORE"
86,"MORE"
88,"MORE"
91,"MORE"
106,"MORE"
74,"MORE"
124,"MORE"
84,"MORE"
52,"LESS"
35,"LESS"
81,"MORE"
36,"LESS"
91,"MORE"
95,"MORE"
84,"MORE"
23,"LESS"
69,"MORE"
83,"MORE"
68,"MORE"
105,"MORE"
64,"MORE"
73,"MORE"
119,"MORE"
44,"LESS"
100,"MORE"
111,"MORE"
129,"MORE"
49,"LESS"
115,"MORE"
40,"LESS"
59,"LESS"
94,"MORE"
47,"LESS"
46,"LESS"
77,"MORE"
84,"MORE"
73,"MORE"
13,"LESS"
94,"MORE"
27,"LESS"
44,"LESS"
85,"MORE"
83,"MORE"
63,"MORE"
64,"MORE"
49,"LESS"
54,"LESS"
17,"LESS"
44,"LESS"
116,"MORE"
90,"MORE"
70,"MORE"
68,"MORE"
73,"MORE"
46,"LESS"
55,"LESS"
73,"MORE"
125,"MORE"
67,"MORE"
94,"MORE"
59,"LESS"
42,"LESS"
93,"MORE"
32,"LESS"
79,"MORE"
63,"MORE"
